Arpabet,IPA,Comments
,,General American phonemes
,,Copyright (C) 2017 Reece H. Dunn
,,License: CC-BY-SA 4.0 International
-,.,Syllable break
AA,ɑ,
AE,æ,
AH,ʌ,
AO,ɔ,
AW,aʊ̯,
AX,ə,
AXR,ɚ,
AY,aɪ̯,
B,b,
CH,t͡ʃ,
D,d,
DH,ð,
EA,,Rhotic SQUARE: use 'EH R' instead.
EH,e,
ER,ɝ,
EY,eɪ̯,
F,f,
G,ɡ,
HH,h,
HW,ʍ,
I,,FLEECE-HAPPY merger: use 'IY' instead
IA,,Rhotic NEAR: use 'IH R'/'IY R' instead
IH,ɪ,
IY,i,
JH,d͡ʒ,
K,k,
L,l,
M,m,
N,n,
NG,ŋ,
OA,,Rhotic FORCE: use 'OW R' instead
OH,,PALM-LOT (COT) merger: use 'AA' instead
OW,oʊ̯,
OY,ɔɪ̯,
P,p,
Q,ʔ,
R,ɹ,
S,s,
SH,ʃ,
T,t,
TH,θ,
UA,,Rhotic CURE: use 'UH R' instead
UH,ʊ,
UW,u,
V,v,
W,w,
X,x,
Y,j,
Z,z,
ZH,ʒ,
