Lexical Set,en-GB-x-rp,en-CA,en-US-x-genam,en-IE,en-scotland,en-wales,Comments
,,,,,,,Copyright (C) 2017 Reece H. Dunn
,,,,,,,License: CC-BY-SA 4.0 International
KIT,IH,IH,IH,IH,IH,IH,
DRESS,EH,EH,EH,EH,EH,EH,
TRAP,AE,AE,AE,AE,AE,AE,
LOT,OH,AA,AA,OH,OH,OH,
CLOTH,OH,AA,AO,OH,OH,OH,
STRUT,AH,AH,AH,AH,AH,AH,
PUT,UH,UH,UH,AH,UW,UH,
FOOT,UH,UH,UH,UW,UW,UH,
FLEECE,IY,IY,IY,IY,IY,IY,
MEAT,IY,IY,IY,EY,IY,IY,
PALM,AA,AA,AA,AA,AE,AA,
BATH,AA,AE,AE,AE,AE,AE,
THOUGHT,AO,AA,AO,AO,OH,AO,
GOOSE,UW,UW,UW,UW,UW,UW,
NURSE,ER,ER,ER,ER,AH R,ER,
TERM,ER,ER,ER,ER,EH R,ER,
BIRD,ER,ER,ER,ER,IH R,ER,
START,AA,AA R,AA R,AA R,AE R,AA,
NORTH,AO,AO R,AO R,OH R,OH R,AO,
FORCE,OA,AO R,OW R,OW R,OW R,OW,
CURE,UA,UH R,UH R,UW R,UW R,UA,
NEAR,IA,IH R,IH R,IY R,IY R,IA,
SQUARE,EA,EH R,EH R,EY R,EY R,EA,
HAPPY,IH,IY,IY,IH,EY,IY,
COMMA,AX,AH,AX,AX,AX,AX,
LETTER,AX,AXR,AXR,AXR,AX R,AX,
FACE,EY,EY,EY,EY,EY,EY,
PRICE,AY,AY,AY,AY,AY,AY,
CHOICE,OY,OY,OY,OY,OY,OY,
GOAT,OW,OW,OW,OW,OW,OW,
MOUTH,AW,AW,AW,AW,AW,AW,
